run_id,scenario_name,round_number,metric.communication_feature_presence,metric.communication_open_coding,metric.content_filter_refusal,metric.english_ngram_backoff_surprisal,metric.english_ngram_surprisal,metric.gzip_compression_ratio,metric.language_emergence,metric.language_strangeness,metric.mean_chars_per_message,metric.mean_chars_per_round,metric.mean_message_length,metric.mean_word_length,metric.message_entropy,metric.neologism,metric.perplexity,metric.postmortem_ended_timeout,metric.protocol_probe,metric.round_ended_idle,metric.round_ended_timeout,metric.round_success,metric.shorthand_codes,metric.slang_emergence
veyru/1780571879,veyru,4,,,,2.2741081903235,2.2940525190115677,0.7229458927304309,,,187.4,,,,4.224257569171405,,4.757970333099365,,,,,0.0,,1.0
veyru/1780571879,veyru,5,,,,2.375425205294134,2.3563576456543096,0.8165662940460224,,,140.33333333333334,,,,4.198384611360857,,4.853772242863973,1.0,,,,0.0,1.0,
veyru/1780571879,veyru,6,,,,2.4035010828169745,2.372484372475779,0.81537757556165,,,144.0,,,,4.199925687973572,,4.89091428120931,1.0,,,,0.0,,
veyru/1780571879,veyru,7,,,,2.3608603157483503,2.3834914947613557,0.701953373842126,,,199.0,,,,4.22468383498328,,4.768999099731445,1.0,,,,0.0,,
veyru/1780571879,veyru,8,,,,2.3962896225393107,2.410326520320576,0.8253422345789329,,,124.0,,,,4.223811837664823,1.0,4.497335433959961,1.0,,,,0.0,1.0,1.0
veyru/1780571879,veyru,9,,,,2.311622736528817,2.348096500112405,0.6984460731672006,,,196.8,,,,4.191454451146317,,4.606907081604004,1.0,,,,0.0,,
veyru/1780571879,veyru,10,,,,2.3671478765830467,2.4054295837164483,0.7592413555125489,,,138.8,,,,4.096443835259283,,4.779995441436768,1.0,,,,1.0,,
veyru/1780571879,veyru,11,,,,2.2298929091714674,2.267363771314442,0.6993239769808961,,1.0,161.0,,,,4.07180912525629,,4.644173240661621,1.0,,,,0.0,,
veyru/1780571879,veyru,12,,,,2.3625606135877675,2.3086699001719637,0.8211974727072292,,,116.0,,,,4.053790669919461,,4.841851575034005,1.0,,,,0.0,,
veyru/1780571879,veyru,13,,,,2.283341265430331,2.29553095095021,0.7569242253671178,,,163.4,,,,4.149336289992555,,4.730266380310058,1.0,,,,0.0,,
veyru/1780571879,veyru,14,,,,2.3937024840495646,2.3797523572969,0.80706505320104,,,128.28571428571428,,,,4.154312937067572,,4.822939668382917,1.0,,,,0.0,,
veyru/1780571879,veyru,15,,,,2.3298248682720235,2.3243927895544343,0.7818470789083561,,,138.0,,,,4.1398180862258425,,4.748467241014753,,,,,0.0,,
veyru/1780571883,veyru,1,,,,2.3219454099940955,2.3469602063393227,0.7486728443802771,,,176.25,,,,4.215379701394768,,5.133012533187866,1.0,,,,1.0,,
veyru/1780571883,veyru,2,,,,2.322071305290573,2.35114821838251,0.70193105695302,,,194.16666666666666,,,,4.185533359755237,,4.791621605555217,1.0,,,,1.0,,
veyru/1780571883,veyru,3,,,,2.447213749694991,2.472319217048016,0.7876456715514849,,,168.0,,,,4.267816890420894,,5.219824600219726,,,,,1.0,,
veyru/1780571883,veyru,4,,,,2.2952558297795362,2.3218274792617155,0.6834065259375056,,,206.66666666666666,,,,4.222545959916148,,4.750814000765483,,,,,1.0,,
