src_id,field_observer_model,engineer_model,model_class,round_time_budget_seconds,baseline_round_success_fraction,cross_family_observer,n_expected,expected_mean,expected_std,n_expected_no_pm,expected_no_pm_mean,expected_no_pm_std,n_learned,learned_mean,learned_std,n_cross_family,cross_family_mean,cross_family_std,delta
veyru/1780654381,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.5333333333333333,gpt54,3,0.5151515151515151,0.18924236358783025,3,0.45454545454545453,0.15745916432444337,9,0.3232323232323232,0.1372028051232942,3,0.3939393939393939,0.13886593015017695,-0.13131313131313133
veyru/1781173589,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.4666666666666667,gpt54,3,0.5454545454545454,0.18181818181818182,3,0.4848484848484848,0.052486388108147784,9,0.2626262626262626,0.1396900675347407,3,0.45454545454545453,0.15745916432444337,-0.2222222222222222
veyru/1781173590,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.3333333333333333,gpt54,3,0.6363636363636364,0.09090909090909094,3,0.2727272727272727,0.09090909090909091,9,0.010101010101010102,0.030303030303030304,3,0.09090909090909091,0.09090909090909091,-0.2626262626262626
veyru/1781173592,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.4666666666666667,gpt54,3,0.2727272727272727,0.18181818181818182,3,0.15151515151515152,0.10497277621629558,9,0.13131313131313133,0.11236664374387367,3,0.3333333333333333,0.13886593015017695,-0.020202020202020193
veyru/1781173595,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.4,gpt54,3,0.30303030303030304,0.05248638810814781,3,0.3333333333333333,0.05248638810814781,9,0.15151515151515152,0.11134044285378082,3,0.06060606060606061,0.0524863881081478,-0.1818181818181818
veyru/1781175557,claude-sonnet-4-6,claude-sonnet-4-6,closed,250,0.6666666666666666,gpt54,3,0.45454545454545453,0.09090909090909088,3,0.4848484848484848,0.052486388108147784,9,0.18181818181818182,0.12026142323020866,3,0.2121212121212121,0.10497277621629558,-0.303030303030303
veyru/1779908251,gpt-5.4,gpt-5.4,closed,250,0.4,opus47,3,0.30303030303030304,0.05248638810814781,3,0.09090909090909091,0.0,9,0.24242424242424243,0.11134044285378082,3,0.30303030303030304,0.05248638810814781,0.15151515151515152
veyru/1779909805,gpt-5.4,gpt-5.4,closed,250,0.7333333333333333,opus47,3,0.9090909090909091,0.09090909090909088,3,0.7575757575757576,0.05248638810814781,9,0.7070707070707071,0.25217146934989754,3,0.6060606060606061,0.2922318412422108,-0.0505050505050505
veyru/1779978245,gpt-5.4,gpt-5.4,closed,250,0.4,opus47,3,0.09090909090909091,0.0,3,0.09090909090909091,0.0,9,0.0707070707070707,0.04008714107673622,3,0.09090909090909091,0.0,-0.020202020202020207
veyru/1779978252,gpt-5.4,gpt-5.4,closed,250,0.4,opus47,3,0.09090909090909091,0.0,3,0.06060606060606061,0.0524863881081478,9,0.030303030303030304,0.045454545454545456,3,0.06060606060606061,0.0524863881081478,-0.030303030303030304
